,ID,Comment
0,sin ja kim              ,이은재의원갑질대단하십니다아무데서나목소리크면장땡인줄아시는데교욱아이템에대해서공부도안하시고준비도안하시고의원이무식하니보좌진들도무식한가봅니다미치하얼빈감옥에서안중근의사가돌아가셨다를다시듣는듯합니다.
1,Uni he              ,야 개콘대신에 이거 틀어라 졸라웃기내 ㅋㅋㅋㅋㅋㅋㅋ
2,이승찬              ,ㅋㅋㅋㅋㅋㅋㅋㅋ지금 저할매는 아이폰을 왜 애플에서만사냐 라고하는거랑 같은거임 ㅋㅋㅋㅋ 저할매지식이 국회의원이면 저도 할 수 있읍니다ㅋㅋㅋㅋㅋㅋ
3,용용              ,"아 진심 무식한건 둘째치고 태도는 왜 저런데....나이도 있으니 ms, 한글, 워드 모를 수도 있지...근데 상대방 의견을 차분히 듣고 이해할려는 태도는 취해야 하는거 아냐? 어떻게든 상대방이 잘못한걸로 몰아갈려고 아주 발악을 하시네."
4,eh to              ,아저씨 불쌍해요..ㅠㅠ 얼굴에 당황한 기색이ㅠㅠㅠㅠㅠㅠㅠ아 진짜 어떡해ㅠㅠㅠㅠ
5,이준              ,"이거 설마 국민들이 ""사이다다!""라고 말할 줄알고 고래고래 억지우기며 소리지른거임?"
6,이진희              ,옆의 나경원 의원 아님? 옆에도 딱히 알고있는 듯한 얼굴이 아닌데
7,앙대영              ,학교 별로 구입하는 것보다 싸게 교육청에서 window를 구입하면 마이크로소프트웨어 독점인가요?
8,Eugene              ,국가예산들어가는 법인카드로 에르메스 향수 처사다가 감사에서 걸린 무개념 아줌마가 왜 마소에서 오피스 싸게샀냐고 교육감 사퇴하란다ㅋㅋㅋㅋㅋㅋ 국가예산으로 니 향수랑 유기농 방울토마토는 사도되고 ms오피스랑 한글은 싸게 사면 안되는거냐 ㅋㅋㅋㅋ강남구 국회의원 뽑아놓은 꼬라지봐라 ㅋㅋㅋㅋㅋㅋ
9,마음평온한              ,개콘이나 우리나라 개그맨들 분발해주세요. 국회의원님도 저렇게 웃음을 주시는데 .....
10,jay jay by jay              ,이분 미국 박사학위 받은거 진짜인지 확인하려는데 정보 있으신지?
11,lee ha              ,"진짜 이재은 의원님... 소프트웨어 구입할 때 공개입찰을 하도록 되어있어요. 그래서 2차 공개입찰까지 했는데 입찰자가 없어서 결국 수의계약을 한 거라 절차상 문제가 없잖아요. 공개입찰을 왜 아무 업체도 안들어왔냐고 물으시는데요. ms 총판이 한국에 하나라서 독적공급업체잖아요. 1, 2 차 공개입찰에 응찰 안해도 결국 자신들이 계약을 하게 되어 있으니 마지막에 수의계약으로 편리하게 진행한 거에요. 업체를 탓할 일도 아니고, 그게 못마땅하면 법을 바꾸세요. 독점공급을 못하도록 법을 만들면 될 거를... 왜 엄한 사람에게 언성 높이고 사퇴하라 마라 합니까. 교육감도 국민이 투표로 선출한 공직자인데, 누구 맘대로 사퇴하라고 하나요. 그리고 남에게 묻은 겨만 보지 마시고 자신에게 묻은 똥 좀 제대로 닦고 나오세요. 법인카드로 향수, 넥타이 사라고 되어 있나요? 법인카드로 오이 등의 채소류를 120여만원 어치나 구매하셨다면서요? 오이소박이 평생 드실 만큼 만들어두셨나요? 모르고 한 거면 용서 되는 거 아니에요. 양심 좀 지키세요."
12,사람              ,야 ~~  역시 새누리당 캬 대갈통이 그냥 크~~
13,HK M              ,"옆자리 앉은 나경원 표정봐라, 진짜 자기가 봐도 왜 저러나 싶을 정도로 이해가 안된다는 표정이네."
14,최호정              ,극한직업 교육감편 ㅋㅋㅋ
15,이설자              ,안하무인에  무식이 하늘을 찌르는 저런 답없는 국개의원은 누가 뽑았나한심하다 한심해.
