,ID,Comment
0,P K              ,정말 애국 Youtuber들 때문에 모든 의혹들이 풀려지네요. 감사합니다 (꾸벅).
1,해바라기              ,빼박....증거네...이보다...더.....한..증거가...어디...있다고......
2,Joseph Rim              ,"이런 천인공로할 일을 아무렇지도 않게 저지르고도 뻔뻔스럽게 나대는정부와  민주당~ 국민을 섬기기 보다는 개,돼지로 취급하고 분열시키더니만 이제는 정말 간댕이가 붓다 못해, 제정신이 아닌모양~ 이제는 국민이 얼마나 두려운 것인가를 경험하게 될 것이다."
3,최수민              ,"빳빳하네요 한번도 만지지 않는투표용지네요😡😡😡이것들것들이 수단방법을 가리지않을거라 했지요,천벌받을것들!!!"
4,기본              ,"이건 쿠테타입니다. 국민의 눈,귀,입을 막은 쿠테다 아닌가요? 국민을 바보로 만드는 쿠테타?"
5,Hyunsook Ventura              ,정말 수고 많습니다용기 있게 밝혀주세요부정선거조작질 한자들 검찰조사받아 구속시켜야 해요
6,정영미              ,역시. 거짖은. 진실을. 못이겨. 바른말 하여. 자수하라. 선관위
7,Hyeoak Kwon              ,정말 국민을 개돼지로 보고 잊을 수 없는 부정선거를 저질렀군요 ㅠㅠ 이게 나라인가요!!!
8,최하욱              ,이놈들은 알고있었고 부정선거 맞습니다ㆍ
9,JM C              ,끝났네 !   ㅡ    전기의자 준비 !!
10,바르사체              ,전자개표 폐기하고 수개표를 하지않는 이상 우파는 이길수가 없다거기에 중립을 지켜야 할 선관위의 67%가 민노총인데 내부에 x맨을 심어놓고 무슨 수로 이기냐고
11,kevin Baek              ,기계 무오류설이요??위대한 수령 무오류설이 아니고요??? ㅋ무조건 지들에게 유리하면 사실이건 거짓이건 진상 규명하라고 떠들고지들한테 불리하면 무조건 박박 우기는 사람들(?)이 있지요~ ㅋ이번에는 선거 개표기 수호집회라도 열까요~?? ㅎ
12,lea0390able              ,선관위는 매일 밤 야식시켜 먹으며 뭔가를 대규모로 작업 중입니다. 증거 인멸?
